Borrower_ID,Crop_Type,Farm_Area_Acres,Irrigation_Type,Soil_Type,Season,Fertilizer_Used_Tons,Current_LTV_Ratio,Months_Since_Delinquency,Stress_Probability,Requires_Intervention
FARM-1026,Barley,1299.96,Sprinkler,Peaty,Zaid,88.79,0.87,-1,0.655443514427282,1
FARM-1027,Soybean,1274.6,Manual,Sandy,Zaid,21.14,0.88,-1,0.3181006803770832,0
FARM-1028,Soybean,512.7,Drip,Sandy,Kharif,18.86,0.66,41,0.4737603098113709,0
FARM-1029,Cotton,1251.93,Sprinkler,Sandy,Zaid,108.9,0.77,-1,0.5603248969221748,0
FARM-1030,Rice,103.66,Drip,Clay,Kharif,6.66,0.61,9,0.5690157077291815,0
FARM-1031,Barley,914.59,Sprinkler,Loamy,Zaid,84.99,0.77,8,0.7315564015997514,1
FARM-1032,Cotton,383.51,Flood,Silty,Zaid,57.15,0.53,-1,0.4873619514097927,0
FARM-1033,Maize,224.82,Manual,Clay,Rabi,44.54,0.57,-1,0.5382256374577166,0
FARM-1034,Maize,161.58,Sprinkler,Clay,Zaid,19.38,0.72,31,0.8342772517815056,1
FARM-1035,Wheat,1059.62,Flood,Clay,Rabi,93.22,0.65,-1,0.3857915905077223,0
FARM-1036,Tomato,542.82,Drip,Loamy,Rabi,72.77,0.78,39,0.6260074847959828,0
FARM-1037,Cotton,1100.91,Drip,Peaty,Rabi,226.54,0.67,-1,0.601743259138803,0
FARM-1038,Rice,144.77,Drip,Clay,Kharif,14.22,0.26,-1,0.27697230486833735,0
FARM-1039,Sugarcane,507.17,Drip,Sandy,Kharif,115.44,0.85,30,0.814642348187039,1
FARM-1040,Cotton,832.26,Rain-fed,Clay,Rabi,147.07,0.71,24,0.616643596723645,0
FARM-1041,Sugarcane,1196.55,Sprinkler,Peaty,Zaid,209.01,0.65,46,0.6933265337684662,1
FARM-1042,Cotton,512.19,Flood,Clay,Kharif,49.62,0.87,-1,0.6932228200116695,1
FARM-1043,Potato,957.54,Drip,Loamy,Kharif,134.06,0.83,38,0.7303504692625234,1
FARM-1044,Barley,1334.67,Rain-fed,Silty,Zaid,134.94,0.87,20,0.4537199194596153,0
FARM-1045,Rice,943.0,Sprinkler,Sandy,Zaid,83.17,0.76,23,0.6149046138674068,0
FARM-1046,Tomato,387.79,Drip,Loamy,Zaid,46.06,0.6,-1,0.5701269769561614,0
FARM-1047,Soybean,85.38,Sprinkler,Loamy,Kharif,2.63,0.86,-1,0.36285413692095125,0
FARM-1048,Soybean,1311.64,Flood,Loamy,Rabi,32.83,0.74,37,0.3643757523125199,0
FARM-1049,Barley,80.84,Drip,Clay,Zaid,7.42,0.67,-1,0.3778622394777545,0
FARM-1050,Maize,1318.32,Flood,Clay,Rabi,165.53,0.89,-1,0.6127994343667627,0
FARM-1051,Carrot,816.96,Flood,Loamy,Kharif,63.98,0.53,-1,0.39857600540078025,0
FARM-1052,Potato,1411.65,Drip,Clay,Rabi,116.17,0.59,-1,0.7041902916514171,1
FARM-1053,Potato,1208.24,Manual,Loamy,Kharif,84.81,0.66,-1,0.4483979977841864,0
FARM-1054,Soybean,1497.0,Rain-fed,Sandy,Kharif,42.05,0.84,-1,0.3493451553795009,0
FARM-1055,Potato,558.53,Sprinkler,Peaty,Zaid,77.63,0.53,29,0.5335396536877896,0
FARM-1056,Cotton,1162.42,Flood,Sandy,Rabi,152.6,0.52,-1,0.327802498763032,0
FARM-1057,Barley,632.8,Flood,Clay,Zaid,44.24,0.74,-1,0.40644516655081264,0
FARM-1058,Cotton,745.82,Sprinkler,Clay,Rabi,110.49,0.67,-1,0.5423034319736734,0
FARM-1059,Tomato,959.88,Flood,Peaty,Rabi,97.56,0.53,-1,0.36260716769990836,0
FARM-1060,Tomato,1316.83,Drip,Loamy,Zaid,226.42,0.75,-1,0.6597441376549669,1
FARM-1061,Barley,1476.92,Flood,Clay,Zaid,189.1,0.51,1,1.0,1
FARM-1062,Wheat,1164.0,Rain-fed,Sandy,Kharif,116.68,0.75,-1,0.5901005324202115,0
FARM-1063,Tomato,655.76,Flood,Sandy,Zaid,65.15,0.56,33,0.6814384624826577,1
FARM-1064,Tomato,660.97,Drip,Sandy,Rabi,98.12,0.75,-1,0.5781724744846827,0
FARM-1065,Soybean,1119.49,Rain-fed,Clay,Zaid,18.03,0.81,-1,0.3702549443044023,0
FARM-1066,Barley,396.23,Drip,Clay,Zaid,34.76,0.72,-1,0.4926281812972498,0
FARM-1067,Wheat,210.19,Drip,Peaty,Rabi,17.58,0.88,-1,0.5079436466060107,0
FARM-1068,Cotton,564.2,Drip,Clay,Kharif,112.21,0.25,12,0.3610085647678053,0
FARM-1069,Maize,466.5,Flood,Sandy,Rabi,42.99,0.85,28,0.6848333873892186,1
FARM-1070,Carrot,479.65,Rain-fed,Sandy,Zaid,30.3,0.7,-1,0.39888208845221174,0
FARM-1071,Barley,388.73,Flood,Sandy,Kharif,43.41,0.78,-1,0.3979313115029486,0
FARM-1072,Cotton,111.04,Drip,Loamy,Kharif,15.31,0.84,-1,0.5746877114230686,0
FARM-1073,Wheat,75.92,Rain-fed,Clay,Kharif,4.44,0.65,-1,0.5079179159411494,0
FARM-1074,Carrot,1482.2,Rain-fed,Sandy,Kharif,130.95,0.88,40,0.545039002613103,0
FARM-1075,Carrot,670.27,Rain-fed,Silty,Kharif,40.94,0.54,-1,0.44184747721189643,0
FARM-1076,Carrot,607.27,Drip,Peaty,Zaid,40.6,0.7,5,0.8294167538001602,1
FARM-1077,Cotton,1035.49,Flood,Clay,Zaid,106.79,0.46,-1,0.49929707497228676,0
FARM-1078,Tomato,366.47,Manual,Clay,Kharif,43.25,0.75,-1,0.4687710714193721,0
FARM-1079,Cotton,1427.44,Rain-fed,Peaty,Zaid,185.68,0.36,-1,0.29088939012586035,0
FARM-1080,Potato,1190.2,Drip,Silty,Kharif,82.11,0.79,-1,0.5147077854989469,0
FARM-1081,Rice,179.65,Drip,Silty,Zaid,8.71,0.91,16,0.5924579823229484,0
FARM-1082,Tomato,655.49,Flood,Clay,Kharif,105.2,0.79,-1,0.5393232369125515,0
FARM-1083,Cotton,1324.72,Manual,Sandy,Kharif,137.21,0.69,4,0.9293961637114607,1
FARM-1084,Tomato,1419.86,Flood,Sandy,Zaid,118.41,0.45,-1,0.504248873723514,0
FARM-1085,Tomato,727.73,Flood,Sandy,Zaid,87.76,0.88,40,0.5774490927145027,0
FARM-1086,Carrot,939.45,Drip,Loamy,Zaid,71.52,0.9,-1,0.443623097862685,0
FARM-1087,Rice,292.2,Sprinkler,Clay,Kharif,13.14,0.63,29,0.48998078970262343,0
FARM-1088,Potato,1487.19,Rain-fed,Sandy,Rabi,192.17,0.45,18,0.6586334841338526,1
FARM-1089,Sugarcane,385.92,Flood,Clay,Zaid,38.23,0.71,42,0.8356832371838586,1
FARM-1090,Cotton,1416.96,Rain-fed,Loamy,Kharif,106.42,0.77,-1,0.7707441941113796,1
FARM-1091,Carrot,991.99,Manual,Peaty,Zaid,32.9,0.75,5,0.6918204379648591,1
FARM-1092,Carrot,931.22,Drip,Loamy,Kharif,74.54,0.85,-1,0.42268595237950035,0
FARM-1093,Soybean,793.4,Flood,Silty,Rabi,14.71,0.48,-1,0.19566135495476972,0
FARM-1094,Carrot,384.47,Drip,Clay,Zaid,12.58,0.61,-1,0.40103091277256087,0
FARM-1095,Sugarcane,305.97,Rain-fed,Sandy,Kharif,45.92,0.9,-1,0.7109282603213595,1
FARM-1096,Soybean,369.71,Sprinkler,Peaty,Zaid,14.91,0.55,45,0.2738737282068787,0
FARM-1097,Sugarcane,320.34,Sprinkler,Clay,Zaid,39.08,0.57,-1,0.4818063591236625,0
FARM-1098,Cotton,1180.4,Rain-fed,Clay,Zaid,152.32,0.48,-1,0.37225662612482524,0
FARM-1099,Cotton,557.68,Flood,Loamy,Zaid,42.15,0.8,-1,0.33458376542901447,0
FARM-1100,Cotton,133.87,Manual,Clay,Kharif,17.79,0.62,-1,0.3981835466467264,0
FARM-1101,Rice,1455.2,Flood,Silty,Zaid,125.45,0.3,-1,0.36667746651846134,0
FARM-1102,Tomato,1331.49,Drip,Silty,Kharif,171.11,0.87,-1,0.7344704483741247,1
FARM-1103,Soybean,1395.24,Sprinkler,Loamy,Zaid,34.84,0.61,-1,0.43878575872624903,0
FARM-1104,Potato,1492.62,Rain-fed,Clay,Zaid,146.07,0.71,-1,0.614923394218297,0
FARM-1105,Barley,302.15,Flood,Loamy,Kharif,16.5,0.71,38,0.424344266886969,0
FARM-1106,Sugarcane,624.55,Rain-fed,Silty,Rabi,86.62,0.57,10,0.64805957342098,0
FARM-1107,Carrot,1149.45,Manual,Clay,Zaid,41.35,0.87,43,0.34144314025725536,0
FARM-1108,Barley,1059.23,Drip,Sandy,Rabi,120.75,0.86,-1,0.465680284211628,0
FARM-1109,Cotton,273.15,Manual,Sandy,Kharif,56.07,0.63,-1,0.5407106219305972,0
FARM-1110,Tomato,1232.96,Drip,Sandy,Kharif,217.51,0.69,-1,0.4152215728082316,0
FARM-1111,Barley,375.44,Drip,Clay,Kharif,46.13,0.68,-1,0.49510880736371027,0
FARM-1112,Potato,374.54,Drip,Sandy,Zaid,49.47,0.7,-1,0.5851857769515602,0
FARM-1113,Wheat,828.61,Manual,Clay,Zaid,99.5,0.67,-1,0.4205509555251628,0
FARM-1114,Rice,909.76,Sprinkler,Clay,Kharif,57.15,0.64,-1,0.2819982272076448,0
FARM-1115,Potato,891.13,Drip,Silty,Zaid,120.92,0.74,-1,0.6740926563801298,1
FARM-1116,Wheat,182.66,Flood,Silty,Rabi,17.46,0.82,30,0.6089335773007969,0
FARM-1117,Barley,1322.32,Sprinkler,Clay,Zaid,116.87,0.72,-1,0.6621206008265922,1
FARM-1118,Potato,435.12,Drip,Clay,Zaid,65.67,0.89,-1,0.605237914939207,0
FARM-1119,Soybean,237.8,Manual,Clay,Kharif,5.58,0.61,-1,0.3202212917246224,0
FARM-1120,Wheat,1338.68,Rain-fed,Clay,Zaid,109.51,0.83,-1,0.4355503180010398,0
FARM-1121,Potato,1435.69,Flood,Clay,Kharif,245.44,0.69,-1,0.473645666660922,0
FARM-1122,Tomato,1300.09,Manual,Clay,Kharif,86.78,0.68,-1,0.35611972305820827,0
FARM-1123,Cotton,1223.8,Flood,Loamy,Rabi,168.87,0.8,-1,0.46563756367152226,0
FARM-1124,Barley,1000.1,Manual,Silty,Rabi,127.16,0.81,24,0.6741165047326539,1
FARM-1125,Sugarcane,848.74,Sprinkler,Sandy,Kharif,150.79,0.86,9,0.8757416616883018,1
FARM-1126,Wheat,176.13,Sprinkler,Sandy,Kharif,18.43,0.78,-1,0.46973419713828785,0
FARM-1127,Potato,642.26,Drip,Clay,Rabi,57.78,0.81,-1,0.4899574019312874,0
FARM-1128,Cotton,590.4,Manual,Peaty,Zaid,69.7,0.8,-1,0.5614476295556389,0
FARM-1129,Soybean,426.64,Flood,Silty,Zaid,17.31,0.9,12,0.7179217287761019,1
FARM-1130,Sugarcane,1098.96,Drip,Silty,Zaid,186.25,0.79,-1,0.650422175687267,1
FARM-1131,Barley,769.02,Drip,Silty,Zaid,70.23,0.75,-1,0.3619985119905714,0
FARM-1132,Cotton,167.52,Flood,Peaty,Kharif,14.06,0.61,-1,0.6270384693888993,0
FARM-1133,Tomato,369.27,Flood,Sandy,Kharif,22.87,0.64,-1,0.6685038589798016,1
FARM-1134,Maize,1040.73,Sprinkler,Clay,Kharif,274.19,0.53,13,0.7928990382335939,1
FARM-1135,Tomato,160.39,Manual,Sandy,Zaid,16.88,0.7,-1,0.6091290211788828,0
FARM-1136,Soybean,1284.25,Drip,Silty,Kharif,42.5,0.39,-1,0.33807829173689324,0
FARM-1137,Carrot,767.96,Sprinkler,Silty,Zaid,26.71,0.84,-1,0.2903395081515608,0
FARM-1138,Tomato,746.85,Drip,Sandy,Kharif,106.03,0.62,-1,0.6744270367885672,1
FARM-1139,Maize,908.99,Rain-fed,Clay,Kharif,234.39,0.64,28,0.8086400277573754,1
FARM-1140,Maize,1245.79,Rain-fed,Loamy,Zaid,241.21,0.36,27,0.6385997558055785,0
FARM-1141,Barley,554.32,Flood,Peaty,Zaid,31.24,0.81,-1,0.49145394608478304,0
FARM-1142,Sugarcane,1033.12,Sprinkler,Sandy,Zaid,178.81,0.77,-1,0.49427575840811555,0
FARM-1143,Tomato,870.31,Flood,Sandy,Rabi,132.25,0.71,-1,0.49085988963037364,0
FARM-1144,Tomato,437.19,Flood,Clay,Rabi,47.55,0.69,-1,0.5608397016529615,0
FARM-1145,Cotton,1324.01,Rain-fed,Loamy,Kharif,255.77,0.8,-1,0.4895641620960386,0
FARM-1146,Rice,1206.27,Flood,Silty,Zaid,110.85,0.24,-1,0.2490252732619265,0
FARM-1147,Soybean,1004.76,Flood,Sandy,Zaid,42.18,0.66,-1,0.20564586291890763,0
FARM-1148,Cotton,1283.34,Flood,Silty,Kharif,201.86,0.83,-1,0.5735375823935819,0
FARM-1149,Barley,1307.58,Rain-fed,Loamy,Kharif,74.29,0.43,-1,0.21673726337426144,0
FARM-1150,Potato,1077.13,Flood,Sandy,Zaid,104.66,0.46,8,0.5448890578869466,0
FARM-1151,Barley,1263.67,Drip,Clay,Zaid,79.82,0.77,-1,0.5220089411463905,0
FARM-1152,Barley,1061.33,Sprinkler,Sandy,Kharif,134.57,0.53,2,1.0,1
FARM-1153,Sugarcane,1036.2,Rain-fed,Loamy,Zaid,208.96,0.76,-1,0.5754209403591521,0
FARM-1154,Maize,946.99,Drip,Loamy,Zaid,200.53,0.5,-1,0.49665563652291206,0
FARM-1155,Barley,1141.44,Drip,Sandy,Zaid,82.28,0.7,1,1.0,1
FARM-1156,Rice,279.98,Drip,Peaty,Kharif,15.32,0.6,-1,0.46073670857057875,0
FARM-1157,Carrot,1327.26,Flood,Clay,Rabi,100.06,0.73,15,0.6334743539167708,0
FARM-1158,Barley,1314.17,Flood,Silty,Rabi,115.22,0.52,-1,0.31045844636934394,0
FARM-1159,Carrot,92.41,Rain-fed,Loamy,Kharif,4.02,0.78,-1,0.4824750688571331,0
FARM-1160,Tomato,1247.43,Sprinkler,Loamy,Kharif,167.15,0.49,-1,0.41322789969219137,0
FARM-1161,Rice,236.86,Sprinkler,Clay,Zaid,10.24,0.68,-1,0.35365502590996056,0
FARM-1162,Rice,535.92,Flood,Loamy,Kharif,35.42,0.57,-1,0.580909140121857,0
FARM-1163,Soybean,1128.09,Rain-fed,Sandy,Zaid,32.78,0.86,-1,0.46127913622096256,0
FARM-1164,Cotton,283.1,Flood,Clay,Kharif,25.68,0.75,-1,0.6322338630472186,0
FARM-1165,Wheat,1236.05,Manual,Loamy,Zaid,183.51,0.62,-1,0.35082663792282776,0
FARM-1166,Tomato,1256.59,Sprinkler,Peaty,Zaid,106.93,0.91,-1,0.4769790756613054,0
FARM-1167,Barley,785.83,Drip,Clay,Zaid,44.58,0.56,-1,0.39824485297618406,0
FARM-1168,Cotton,59.26,Sprinkler,Silty,Zaid,5.84,0.71,-1,0.5066485979479571,0
FARM-1169,Soybean,466.21,Flood,Loamy,Zaid,17.75,0.55,-1,0.34126409425877074,0
FARM-1170,Rice,944.54,Sprinkler,Sandy,Zaid,69.93,0.52,8,0.7025927547555382,1
FARM-1171,Cotton,1472.72,Drip,Clay,Rabi,219.67,0.43,15,0.6085503268119343,0
FARM-1172,Soybean,966.13,Drip,Clay,Zaid,15.1,0.92,-1,0.5107713173582753,0
FARM-1173,Barley,426.72,Rain-fed,Clay,Kharif,20.52,0.7,41,0.5364732969534564,0
FARM-1174,Rice,969.31,Drip,Clay,Rabi,73.34,0.55,-1,0.29283103844311914,0
FARM-1175,Barley,832.98,Rain-fed,Clay,Rabi,98.71,0.69,34,0.5047439568999964,0
FARM-1176,Rice,1180.78,Drip,Sandy,Kharif,130.85,0.68,2,1.0,1
FARM-1177,Tomato,205.12,Sprinkler,Silty,Rabi,14.44,0.87,4,1.0,1
FARM-1178,Potato,1153.49,Sprinkler,Silty,Zaid,143.73,0.42,-1,0.4304950844439154,0
FARM-1179,Cotton,834.84,Flood,Sandy,Zaid,165.17,0.6,-1,0.46285493953457485,0
FARM-1180,Tomato,1446.34,Flood,Clay,Zaid,154.12,0.63,-1,0.5886171305947655,0
FARM-1181,Cotton,545.71,Drip,Loamy,Kharif,101.58,0.81,3,1.0,1
FARM-1182,Potato,967.3,Drip,Loamy,Kharif,73.56,0.36,-1,0.5385673725586662,0
FARM-1183,Potato,1401.44,Flood,Clay,Zaid,241.39,0.76,14,0.7127277468952217,1
FARM-1184,Barley,198.64,Sprinkler,Sandy,Zaid,22.37,0.9,-1,0.4362671286230281,0
FARM-1185,Rice,1408.98,Manual,Sandy,Kharif,162.46,0.41,19,0.5616979363548488,0
FARM-1186,Wheat,1047.43,Rain-fed,Loamy,Zaid,123.24,0.88,-1,0.4943210036536748,0
FARM-1187,Soybean,148.36,Rain-fed,Loamy,Kharif,3.84,0.92,-1,0.45754241270007623,0
FARM-1188,Soybean,486.4,Rain-fed,Silty,Kharif,20.99,0.65,-1,0.33857166893689644,0
FARM-1189,Barley,1076.85,Sprinkler,Silty,Kharif,75.17,0.88,-1,0.5365629329987864,0
FARM-1190,Cotton,147.66,Drip,Loamy,Kharif,17.2,0.83,-1,0.5950180027822801,0
FARM-1191,Potato,894.15,Manual,Silty,Rabi,128.84,0.76,10,0.5969674049929365,0
FARM-1192,Potato,551.53,Sprinkler,Peaty,Kharif,83.74,0.81,-1,0.46378960753695697,0
FARM-1193,Rice,950.33,Sprinkler,Loamy,Kharif,108.67,0.42,-1,0.4402132322230477,0
FARM-1194,Tomato,116.33,Drip,Loamy,Kharif,9.84,0.55,22,0.6072278978643826,0
FARM-1195,Tomato,1313.73,Flood,Sandy,Zaid,204.63,0.8,-1,0.7509297050626464,1
FARM-1196,Carrot,1461.56,Flood,Peaty,Zaid,108.61,0.47,38,0.265767979335014,0
FARM-1197,Potato,1454.87,Rain-fed,Silty,Zaid,98.43,0.56,45,0.5131083025082345,0
FARM-1198,Potato,1137.0,Flood,Clay,Zaid,121.05,0.59,-1,0.5923193518961377,0
FARM-1199,Carrot,238.63,Flood,Loamy,Kharif,11.21,0.81,-1,0.3874176489646322,0
FARM-1200,Rice,1149.48,Manual,Sandy,Rabi,73.98,0.84,-1,0.44746329558890807,0
FARM-1201,Cotton,85.65,Drip,Sandy,Zaid,17.78,0.78,12,0.747281398151511,1
FARM-1202,Barley,82.08,Flood,Clay,Zaid,8.44,0.29,-1,0.2514652205003449,0
FARM-1203,Potato,519.23,Drip,Silty,Rabi,75.87,0.69,-1,0.5691797398480622,0
FARM-1204,Rice,758.53,Sprinkler,Sandy,Zaid,89.6,0.68,10,0.4721608012002254,0
FARM-1205,Cotton,1167.09,Manual,Silty,Kharif,143.33,0.92,-1,0.8122725907397966,1
FARM-1206,Cotton,1040.78,Drip,Silty,Kharif,189.69,0.74,21,0.5891245764353648,0
FARM-1207,Rice,696.56,Rain-fed,Silty,Kharif,52.08,0.76,1,1.0,1
FARM-1208,Cotton,446.76,Drip,Loamy,Zaid,85.66,0.68,-1,0.5509760602182776,0
FARM-1209,Barley,1495.83,Manual,Sandy,Zaid,91.63,0.85,30,0.5596792584333614,0
FARM-1210,Soybean,667.96,Rain-fed,Clay,Zaid,29.01,0.77,1,1.0,1
FARM-1211,Rice,704.51,Rain-fed,Sandy,Kharif,40.51,0.68,-1,0.46325765753355647,0
FARM-1212,Rice,287.25,Drip,Clay,Kharif,18.99,0.78,-1,0.5364841289554226,0
FARM-1213,Barley,1202.47,Manual,Sandy,Zaid,135.95,0.72,-1,0.6366651353667897,0
FARM-1214,Carrot,1055.84,Sprinkler,Clay,Kharif,56.62,0.9,-1,0.41098591624511055,0
FARM-1215,Barley,370.12,Flood,Clay,Rabi,36.92,0.79,40,0.6319656911822897,0
FARM-1216,Tomato,169.45,Rain-fed,Clay,Zaid,19.21,0.64,-1,0.5668936451068717,0
FARM-1217,Carrot,1036.72,Drip,Clay,Kharif,77.28,0.79,-1,0.1719214364424596,0
FARM-1218,Rice,999.04,Rain-fed,Sandy,Kharif,58.21,0.59,-1,0.3126805597464127,0
FARM-1219,Wheat,446.23,Drip,Silty,Zaid,24.92,0.65,-1,0.3313019435719239,0
FARM-1220,Rice,1428.75,Sprinkler,Sandy,Zaid,91.43,0.83,36,0.6016541507206572,0
FARM-1221,Soybean,269.03,Flood,Clay,Kharif,7.86,0.77,24,0.49778259159319893,0
FARM-1222,Cotton,676.89,Drip,Clay,Rabi,63.3,0.67,-1,0.5837927699984883,0
FARM-1223,Tomato,1418.24,Drip,Clay,Rabi,145.48,0.5,-1,0.4094407732485584,0
FARM-1224,Barley,658.6,Drip,Clay,Kharif,53.35,0.74,-1,0.45552434409198456,0
FARM-1225,Barley,975.86,Flood,Silty,Kharif,48.95,0.65,-1,0.43714192483889275,0
FARM-1226,Maize,626.51,Flood,Clay,Zaid,122.17,0.62,-1,0.5678886728737071,0
FARM-1227,Tomato,447.61,Sprinkler,Loamy,Kharif,74.36,0.88,-1,0.6697182272104824,1
FARM-1228,Potato,1476.77,Drip,Clay,Kharif,115.5,0.45,42,0.36884759088712543,0
FARM-1229,Rice,643.53,Drip,Clay,Zaid,56.52,0.59,-1,0.3178186136641177,0
FARM-1230,Wheat,1346.44,Rain-fed,Sandy,Kharif,156.83,0.87,30,0.6375512780643655,0
FARM-1231,Soybean,383.43,Drip,Sandy,Kharif,10.58,0.58,-1,0.2552070781855041,0
FARM-1232,Soybean,359.0,Manual,Clay,Zaid,12.94,0.52,-1,0.15712184205894894,0
FARM-1233,Sugarcane,95.14,Rain-fed,Clay,Rabi,13.86,0.6,25,0.7055002244445777,1
FARM-1234,Barley,994.92,Sprinkler,Loamy,Zaid,89.96,0.84,-1,0.4587712627405698,0
FARM-1235,Carrot,584.36,Sprinkler,Clay,Zaid,17.79,0.73,27,0.4132421886374949,0
FARM-1236,Tomato,1303.32,Manual,Clay,Zaid,186.38,0.6,-1,0.46256202925960993,0
FARM-1237,Cotton,736.15,Drip,Peaty,Kharif,119.69,0.71,-1,0.47467505024816015,0
FARM-1238,Rice,1453.88,Drip,Sandy,Kharif,62.62,0.85,25,0.5888895594246434,0
FARM-1239,Barley,319.01,Drip,Sandy,Zaid,24.93,0.6,-1,0.3840301164026671,0
FARM-1240,Maize,1309.5,Rain-fed,Loamy,Kharif,348.62,0.56,30,0.6101613444640337,0
FARM-1241,Maize,1176.07,Drip,Loamy,Zaid,194.91,0.77,38,0.6789051052853391,1
FARM-1242,Potato,1167.84,Sprinkler,Sandy,Kharif,140.41,0.64,-1,0.5955615164025244,0
FARM-1243,Tomato,1274.94,Manual,Sandy,Zaid,215.71,0.54,-1,0.4929217411277678,0
FARM-1244,Cotton,1153.48,Rain-fed,Sandy,Zaid,196.57,0.63,-1,0.36108034738166467,0
FARM-1245,Potato,958.02,Flood,Clay,Rabi,124.4,0.52,-1,0.536298620546179,0
FARM-1246,Sugarcane,240.31,Drip,Sandy,Zaid,49.9,0.76,15,0.8256557044799836,1
FARM-1247,Maize,97.16,Rain-fed,Loamy,Zaid,23.86,0.73,-1,0.6977514901845037,1
FARM-1248,Maize,1385.23,Sprinkler,Silty,Kharif,238.59,0.89,-1,0.8047910886251752,1
FARM-1249,Wheat,944.14,Drip,Sandy,Rabi,92.06,0.82,2,1.0,1
FARM-1250,Tomato,1204.98,Drip,Sandy,Zaid,128.12,0.56,-1,0.5260083681611957,0
FARM-1251,Tomato,748.21,Manual,Clay,Zaid,131.69,0.49,18,0.5158685954880496,0
FARM-1252,Wheat,220.1,Sprinkler,Sandy,Zaid,26.35,0.51,-1,0.4887580318209178,0
FARM-1253,Tomato,231.52,Rain-fed,Clay,Kharif,16.2,0.63,40,0.5723479408699094,0
FARM-1254,Barley,1044.07,Rain-fed,Loamy,Zaid,128.07,0.82,-1,0.37030383455641064,0
FARM-1255,Soybean,673.94,Sprinkler,Clay,Kharif,19.83,0.91,-1,0.5276384967930545,0
FARM-1256,Potato,340.76,Flood,Sandy,Rabi,23.26,0.69,-1,0.5031095351229615,0
FARM-1257,Rice,762.81,Flood,Clay,Zaid,64.06,0.52,-1,0.34118772909821526,0
FARM-1258,Soybean,143.1,Flood,Loamy,Zaid,3.94,0.78,43,0.3822787084811309,0
FARM-1259,Cotton,893.86,Flood,Silty,Zaid,172.41,0.82,-1,0.5710636381071756,0
FARM-1260,Rice,440.04,Rain-fed,Clay,Zaid,24.78,0.88,9,0.7749635315073825,1
FARM-1261,Maize,1206.46,Sprinkler,Sandy,Rabi,288.06,0.66,-1,0.5252420004834699,0
FARM-1262,Barley,500.02,Manual,Loamy,Zaid,47.6,0.3,-1,0.1431387325517553,0
FARM-1263,Soybean,710.07,Flood,Clay,Zaid,11.81,0.27,-1,0.06155344609003785,0
FARM-1264,Potato,66.85,Sprinkler,Silty,Kharif,11.81,0.53,-1,0.49017178508400355,0
